type,nom_complet,nom,code,description,couleur,notes,mnemo_produit,domaine_produit,cache,taxe,virtuel
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:CSG-CRDS:Contribution additionelle,Contribution additionelle,64635,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Chômage,Chômage,6464,Cotisations chômage,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Chômage:Solidarité,Solidarité,,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:65-PATRIMONIAL,65-PATRIMONIAL,65,Charges patrimoniales,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:65-PATRIMONIAL:651-Pensions,651-Pensions,651,Pensions versées,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:65-PATRIMONIAL:655-Locatif,655-Locatif,655,Charges concernant les immeubles locatifs,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:65-PATRIMONIAL:658-Divers,658-Divers,658,Charges diverses de patrimoine,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:66-FINANCIÈRES,66-FINANCIÈRES,66,Charges financières,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:66-FINANCIÈRES:661-Intérêts,661-Intérêts,661,Charges d'intérêts et frais financiers sur emprunt,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:66-FINANCIÈRES:666-Change,666-Change,666,Pertes de change,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:66-FINANCIÈRES:667-Cessions de valeurs mobilières,667-Cessions de valeurs mobilières,667,Charges nettes sur cessions de valeurs mobilières de placement $,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:66-FINANCIÈRES:668-Autres,668-Autres,668,Autres charges financières,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:67-EXCEPTIONNEL,67-EXCEPTIONNEL,67,Charges exceptionnelles,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:67-EXCEPTIONNEL:671-Opérations patrimoniales,671-Opérations patrimoniales,671,Charges exceptionnelles sur opérations patrimoniales,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:67-EXCEPTIONNEL:672-Entretien,672-Entretien,672,Gros entretien des résidences principales et secondaires,,,EUR,CURRENCY,F,F,T
