Type;Le nom complet du compte;Nom du compte;Code du compte;Description;Couleur du compte;Notes;Symbole;Espace de noms;Caché;Informations d'imposition;Virtuel
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement:2012 Frais de premier établissement;2012 Frais de premier établissement;2012;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement:2012 Frais de premier établissement:20121 Frais de prospection;20121 Frais de prospection;20121;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement:2012 Frais de premier établissement:20122 Frais de publicité;20122 Frais de publicité;20122;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement:2013 Frais d'augmentation de capital et d'opérations diverses - fusions, scissions, transformations;2013 Frais d'augmentation de capital et d'opérations diverses - fusions, scissions, transformations;2013;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:203 Frais de développement;203 Frais de développement;203;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:205 Concessions et droits similaires, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;205 Concessions et droits similaires, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;205;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:206 Droit au bail;206 Droit au bail;206;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:207 Fonds commercial;207 Fonds commercial;207;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:208 Autres immobilisations incorporelles;208 Autres immobilisations incorporelles;208;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:208 Autres immobilisations incorporelles:2081 Mali de fusion sur actifs incorporels;2081 Mali de fusion sur actifs incorporels;2081;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles;21 Immobilisations corporelles;21;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains;211 Terrains;211;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains:2111 Terrains nus;2111 Terrains nus;2111;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains:2112 Terrains aménagés;2112 Terrains aménagés;2112;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains:2113 Sous-sols et sur-sols;2113 Sous-sols et sur-sols;2113;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains:2114 Terrains de carrières (Tréfonds);2114 Terrains de carrières (Tréfonds);2114;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:211 Terrains:2115 Terrains bâtis;2115 Terrains bâtis;2115;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains;212 Agencements et aménagements de terrains;212;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains:2121 Terrains nus;2121 Terrains nus;2121;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains:2122 Terrains aménagés;2122 Terrains aménagés;2122;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains:2123 Sous-sols et sur-sols;2123 Sous-sols et sur-sols;2123;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains:2124 Terrains de carrières (Tréfonds);2124 Terrains de carrières (Tréfonds);2124;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:212 Agencements et aménagements de terrains:2125 Terrains bâtis;2125 Terrains bâtis;2125;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:213 Constructions;213 Constructions;213;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:213 Constructions:2131 Bâtiments;2131 Bâtiments;2131;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:213 Constructions:2135 Installations générales - agencements - aménagements des constructions;2135 Installations générales - agencements - aménagements des constructions;2135;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:213 Constructions:2138 Ouvrages d'infrastructure;2138 Ouvrages d'infrastructure;2138;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:214 Constructions sur sol d'autrui;214 Constructions sur sol d'autrui;214;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:214 Constructions sur sol d'autrui:2141 Bâtiments;2141 Bâtiments;2141;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:214 Constructions sur sol d'autrui:2145 Installations générales - agencements - aménagements des constructions;2145 Installations générales - agencements - aménagements des constructions;2145;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:214 Constructions sur sol d'autrui:2148 Ouvrages d'infrastructure;2148 Ouvrages d'infrastructure;2148;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels;215 Installations techniques, matériels et outillages industriels;215;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2151 Installations complexes spécialisées;2151 Installations complexes spécialisées;2151;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2151 Installations complexes spécialisées:21511 Installations complexes spécialisées sur sol propre;21511 Installations complexes spécialisées sur sol propre;21511;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2151 Installations complexes spécialisées:21514 Installations complexes spécia lisées sur sol d'autrui;21514 Installations complexes spécia lisées sur sol d'autrui;21514;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2153 Installations à caractère spécifique;2153 Installations à caractère spécifique;2153;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2153 Installations à caractère spécifique:21531 Installations à caractère spécifique sur sol propre;21531 Installations à caractère spécifique sur sol propre;21531;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS:21 Immobilisations corporelles:215 Installations techniques, matériels et outillages industriels:2153 Installations à caractère spécifique:21534 Installations à caractère spécifique sur sol d'autrui;21534 Installations à caractère spécifique sur sol d'autrui;21534;;;;EUR;CURRENCY;F;F;F
